⚠ Dados em validação — aguardando confirmação final												
												
Campanha	Título na Campanha	SKU	Catálogo Clássico	Status Catálogo Clássico	Catálogo Premium	Status Catálogo Premium	Depósito (un)	FULL (un)	Qualidade do anúncio	Experiência	Status do Produto	Status na Campanha
												
[ML] [AVA] [PERFORMANCE]	Sanduicheira elétrica Kian ELETRO Sanduicheira e Grill 24500	SPANK-220V	#4754046783	PERDENDO	-	-	-	-	-	-	Ativo	Pausado
												
[ML] [AVA] [PERFORMANCE]	Sanduicheira elétrica Kian Panini Linea Eletro	SPANK-R-127V	#6936133254	GANHANDO	-	-	-	-	-	-	Ativo	Pausado
												
		SPANK-R-220V	#6936159966	GANHANDO	-	-	1	-	63	-	Ativo	Pausado
												
		SPANK-127V	#6929634636	GANHANDO	-	-	-	-	-	-	Ativo	Pausado
												
[ML] [AVA] [PERFORMANCE]	Scanner Canon CanoScan LiDE 300	CLIDE300	#4809999157	PERDENDO	-	-	105	-	-	-	Ativo	Pausado
												
[ML] [AVA] [PERFORMANCE]	Monitor Philips com tela de 49" e resolução Full HD	MWIDE49-PHPS	-	-	#4757609913	GANHANDO	8	-	-	-	Ativo	Pausado
												
[ML] [AVA] [PERFORMANCE]	Cadeira de rodas Dellamed CADEIRA D400 48CM	CRD400	#4345248351	GANHANDO	-	-	3	-	-	-	Ativo	Pausado
												
[ML] [AVA] [PERFORMANCE]	Aspirador Britânia BAS1295P 1L	BAS1295P-127V	#4363150692	PERDENDO	#6739045862	PERDENDO	-	-	-	-	Ativo	Pausado
												
[ML] [AVA] [PERFORMANCE]	Boombox Polyvox XB-3	BB-XB-3	#6775688974	GANHANDO	#6777488948	PERDENDO	-	-	-	-	Ativo	Pausado
												
[ML] [AVA] [PERFORMANCE]	Smart Tv 43 Aoc Led Roku Full Hd Wi-fi 60hz Hdmi Usb 43s5155/78g	TV43-AOC	#6977902256	COMPARTILHANDO	-	-	1042	-	-	-	Ativo	Pausado
												
[ML] [AVA] [PERFORMANCE]	Alto-falante Philco Audio PBS56 PBS56 portátil com bluetooth waterproof	PBS56	#4722860079	PERDENDO	-	-	19	-	-	-	Ativo	Pausado
												
[ML] [AVA] [PERFORMANCE]	Climatizador portátil Britânia BCL70	BCL70-220V	-	-	-	-	-	-	-	-	Pausado	Pausado
												
[ML] [AVA] [PERFORMANCE]	Impressora 3D Creality k2 plus combo com tecnologias de impressão FDM e FFF	IK2P-BIVOLT	-	-	#4306701921	PERDENDO	8	-	-	-	Ativo	Pausado
												
[ML] [AVA] [PERFORMANCE]	Máquina de sorvete Ninja NC301BZB Creami capacidade de 0.47L	SNJA-CRE127V	#6293929894	PERDENDO	-	-	2	-	63	-	Ativo	Pausado
												
		SNJA-CRE220V	-	-	-	-	-	-	-	-	Pausado	Pausado
												
[ML] [AVA] [PERFORMANCE]	Smart TV Semp 43 Polegadas LED Full HD S42 WiFi Bluetooth Google TV 2 HDMI HDR10 Dolby Audio 43S42	TVSEMP-43	-	-	#6922849626	PERDENDO	120	-	-	-	Ativo	Pausado
												
[ML] [AVA] [PERFORMANCE]	Alto-falante Philco Amplificada Pcx5200 Pcx5200 portátil	PCX5200	#4631871469	PERDENDO	-	-	-	-	-	-	Ativo	Pausado
												
[ML] [AVA] [PERFORMANCE]	Alto-falante Xsound by Mondial Caixa Amplificada CM-300-N com bluetooth	CM-300-N	-	-	#4631787391	PERDENDO	33	-	-	-	Ativo	Pausado
												
[ML] [AVA] [PERFORMANCE]	Headset over-ear gamer sem fio JBL Quantum Series Quantum 360 JBLQTUM360	JBLQ-360	#4497768467	GANHANDO	-	-	5	-	-	65	Ativo	Pausado
												
[ML] [AVA] [PERFORMANCE]	Alto-falante JBL Boombox 4 black JBLBOOMBOX4BLKBR portátil com bluetooth waterproof	BBX4-JBL	-	-	#4561472143	PERDENDO	62	-	-	-	Ativo	Pausado
												
[ML] [AVA] [PERFORMANCE]	Tv stick Proeletronic Pro Stick Stick Pro 4K HD PROSK-1000 1ª geração	PROSK-1000	#5751893438	GANHANDO	#5310985864	PERDENDO	628	-	-	-	Ativo	Pausado
												
[ML] [AVA] [PERFORMANCE]	Aspirador extrator Tambor Wap Spot Cleaner W2 4.17L	WW2-127V	#6796950300	PERDENDO	-	-	-	-	-	-	Ativo	Pausado
												
		WW2-220V	#4639741851	GANHANDO	-	-	1	-	-	-	Ativo	Pausado
												
[ML] [AVA] [PERFORMANCE]	Air fryer Britânia Fritadeira Oven de 11L	BAF11A-220V	#4639676631	PERDENDO	#4657401113	PERDENDO	-	-	-	-	Ativo	Pausado
												
